"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"207",0,"site1",2000,66,155,0,55.56,0.980555555555556
"448",0,"site1",2007,37,156,0,55.56,1
"624",0,"site1",2005,35,159,1,55.56,0.975
"654",0,"site1",2001,67,154,0,55.56,0.980555555555556
"979",0,"site1",2011,41,144,0,55.56,1
"1541",0,"site1",2002,68,154,0,55.56,0.980555555555556
"1689",0,"site1",2003,69,155,0,55.56,0.875
"2362",0,"site1",2006,36,156,0,55.56,1
"2494",0,"site1",2009,39,158,0,55.56,1
"2829",0,"site1",2012,42,146,0,55.56,1
"2999",0,"site1",1999,65,155,0,55.56,0.980555555555556
"3116",0,"site1",2010,40,157,0,55.56,0.975
"3522",0,"site1",2008,38,145,0,55.56,1
"4542",1,"site2",2001,65,155,0,55.78,0.927083333333333
"4559",0,"site2",2012,42,157,0,55.78,0.95
"5185",0,"site2",2003,67,153,0,55.78,1
"5601",0,"site2",2006,36,154,1,55.78,0.8875
"5999",0,"site2",2011,41,152,0,55.78,0.95
"6420",0,"site2",2004,68,158,0,55.78,0.975
"6534",0,"site2",2009,38,150,0,55.78,0.8375
"6856",0,"site2",2008,38,152,0,55.78,0.925
"6927",0,"site2",2000,64,140,1,55.78,0.927083333333333
"7311",0,"site2",2002,66,155,0,55.78,0.927083333333333
"7389",1,"site2",2010,40,152,0,55.78,1
"7413",0,"site2",1998,28,157,0,55.78,0.81875
"7673",3,"site3",2010,45,135,0,55.56,0.825
"7727",3,"site3",2005,40,142,0,55.56,0.875
"8084",2,"site3",2012,47,138,0,55.56,0.8
"8171",2,"site3",2006,41,140,0,55.56,0.875
"8489",0,"site3",2001,65,142,0,55.56,0.8575
"8703",1,"site3",2004,39,141,0,55.56,0.8875
"8791",1,"site3",1999,59,146,1,55.56,0.8575
"9562",0,"site3",2011,46,140,0,55.56,0.825
"9789",5,"site3",2003,38,137,0,55.56,0.8875
"10142",4,"site3",2007,42,137,0,55.56,0.9125
"10332",11,"site3",2009,44,140,0,55.56,0.825
"10575",2,"site3",2002,37,138,1,55.56,0.8575
"10783",7,"site3",2008,43,139,0,55.56,0.8625
"10847",1,"site3",2000,64,143,1,55.56,0.8575
"11808",0,"site4",2011,43,150,1,55.57,1
"12243",0,"site4",2012,46,160,1,55.57,0.95
"12406",0,"site4",2002,32,150,1,55.57,0.883928571428572
"12481",0,"site4",2006,41,146,1,55.57,0.4125
"12677",0,"site4",2004,34,154,0,55.57,1
"12708",0,"site4",1998,58,140,0,55.57,0.883928571428572
"12749",0,"site4",1999,59,139,0,55.57,0.883928571428572
"13166",0,"site4",2000,60,140,0,55.57,0.883928571428572
"13574",0,"site4",2008,41,152,1,55.57,0.9625
"13941",0,"site4",2010,25,148,1,55.57,0.95
"14086",0,"site4",2009,48,148,1,55.57,0.9125
"14633",0,"site4",2001,65,137,1,55.57,0.883928571428572
"15015",0,"site5",2008,42,143,1,55.79,1
"15767",0,"site5",2011,45,147,0,55.79,1
"15793",0,"site5",2009,43,148,0,55.79,1
"16106",0,"site5",2010,44,146,0,55.79,1
"16377",0,"site5",2007,53,156,0,55.79,1
"16597",0,"site5",2003,49,156,1,55.79,1
"17191",0,"site5",2006,52,149,0,55.79,1
"17420",0,"site5",2012,46,155,0,55.79,1
"17498",0,"site5",2001,58,156,1,55.79,1
"17525",0,"site5",2005,51,158,0,55.79,1
"17895",0,"site5",2004,50,157,0,55.79,1
"17919",0,"site5",2002,58,147,0,55.79,1
