"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"558",10,"site1",2007,37,156,0,55.56,1
"762",1,"site1",2005,35,159,1,55.56,0.975
"1190",2,"site1",2002,68,154,0,55.56,0.980555555555556
"1710",2,"site1",1999,65,155,0,55.56,0.980555555555556
"2631",13,"site1",2010,40,157,0,55.56,0.975
"2676",4,"site1",2011,41,144,0,55.56,1
"2970",9,"site1",2009,39,158,0,55.56,1
"3286",0,"site1",2001,67,154,0,55.56,0.980555555555556
"3513",3,"site1",2000,66,155,0,55.56,0.980555555555556
"3622",6,"site1",2008,38,145,0,55.56,1
"3675",6,"site1",2012,42,146,0,55.56,1
"3725",3,"site1",2006,36,156,0,55.56,1
"3859",1,"site1",2003,69,155,0,55.56,0.875
"3963",6,"site2",2002,66,155,0,55.78,0.927083333333333
"4135",3,"site2",2009,38,150,0,55.78,0.8375
"4321",3,"site2",1998,28,157,0,55.78,0.81875
"4418",4,"site2",2006,36,154,1,55.78,0.8875
"5087",2,"site2",2012,42,157,0,55.78,0.95
"5136",2,"site2",2010,40,152,0,55.78,1
"5452",3,"site2",2000,64,140,1,55.78,0.927083333333333
"5861",3,"site2",2011,41,152,0,55.78,0.95
"5924",2,"site2",2003,67,153,0,55.78,1
"6958",5,"site2",2001,65,155,0,55.78,0.927083333333333
"7041",2,"site2",2008,38,152,0,55.78,0.925
"7416",5,"site2",2004,68,158,0,55.78,0.975
"7720",2,"site3",2008,43,139,0,55.56,0.8625
"8865",5,"site3",2011,46,140,0,55.56,0.825
"8910",3,"site3",2002,37,138,1,55.56,0.8575
"9433",4,"site3",2009,44,140,0,55.56,0.825
"10028",2,"site3",2006,41,140,0,55.56,0.875
"10070",5,"site3",2004,39,141,0,55.56,0.8875
"10121",3,"site3",2010,45,135,0,55.56,0.825
"10199",5,"site3",2005,40,142,0,55.56,0.875
"10352",4,"site3",2007,42,137,0,55.56,0.9125
"10434",0,"site3",1999,59,146,1,55.56,0.8575
"10735",3,"site3",2003,38,137,0,55.56,0.8875
"10790",0,"site3",2000,64,143,1,55.56,0.8575
"10950",7,"site3",2012,47,138,0,55.56,0.8
"11118",3,"site3",2001,65,142,0,55.56,0.8575
"11640",6,"site4",2009,48,148,1,55.57,0.9125
"11823",1,"site4",2000,60,140,0,55.57,0.883928571428572
"12015",3,"site4",2011,43,150,1,55.57,1
"12152",2,"site4",2012,46,160,1,55.57,0.95
"12215",1,"site4",2004,34,154,0,55.57,1
"12356",2,"site4",2002,32,150,1,55.57,0.883928571428572
"12510",3,"site4",2008,41,152,1,55.57,0.9625
"13200",11,"site4",2006,41,146,1,55.57,0.4125
"13322",0,"site4",2001,65,137,1,55.57,0.883928571428572
"13388",1,"site4",1999,59,139,0,55.57,0.883928571428572
"14336",0,"site4",1998,58,140,0,55.57,0.883928571428572
"14500",13,"site4",2010,25,148,1,55.57,0.95
"15231",0,"site5",2012,46,155,0,55.79,1
"15733",2,"site5",2002,58,147,0,55.79,1
"16458",2,"site5",2009,43,148,0,55.79,1
"16541",3,"site5",2004,50,157,0,55.79,1
"16667",0,"site5",2008,42,143,1,55.79,1
"16746",0,"site5",2007,53,156,0,55.79,1
"16787",0,"site5",2001,58,156,1,55.79,1
"16924",1,"site5",2011,45,147,0,55.79,1
"17752",0,"site5",2006,52,149,0,55.79,1
"17793",1,"site5",2005,51,158,0,55.79,1
"17916",0,"site5",2010,44,146,0,55.79,1
"17932",1,"site5",2003,49,156,1,55.79,1
